[Flip A] idx=00 -> id=363
[Flip B] idx=01 -> id=999
❌ NO MATCH: (0:363) vs (1:999) | resueltas=0/36
[skip] idx=02 sin ID estable. Lo intento luego.
[Flip A] idx=03 -> id=656
[Flip B] idx=04 -> id=889
❌ NO MATCH: (3:656) vs (4:889) | resueltas=0/36
[skip] idx=05 sin ID estable. Lo intento luego.
[skip] idx=02 sin ID estable. Lo intento luego.
[skip] idx=05 sin ID estable. Lo intento luego.
[skip] idx=02 sin ID estable. Lo intento luego.
[skip] idx=05 sin ID estable. Lo intento luego.
[skip] idx=02 sin ID estable. Lo intento luego.
[skip] idx=05 sin ID estable. Lo intento luego.
[skip] idx=02 sin ID estable. Lo intento luego.
[skip] idx=05 sin ID estable. Lo intento luego.
[skip] idx=02 sin ID estable. Lo intento luego.
[skip] idx=05 sin ID estable. Lo intento luego.
[skip] idx=02 sin ID estable. Lo intento luego.
[skip] idx=05 sin ID estable. Lo intento luego.
[skip] idx=02 sin ID estable. Lo intento luego.
[skip] idx=05 sin ID estable. Lo intento luego.
[skip] idx=02 sin ID estable. Lo intento luego.
[skip] idx=05 sin ID estable. Lo intento luego.
[skip] idx=02 sin ID estable. Lo intento luego.
[skip] idx=05 sin ID estable. Lo intento luego.
[skip] idx=02 sin ID estable. Lo intento luego.
[skip] idx=05 sin ID estable. Lo intento luego.
[skip] idx=02 sin ID estable. Lo intento luego.
[skip] idx=05 sin ID estable. Lo intento luego.
[skip] idx=02 sin ID estable. Lo intento luego.
[skip] idx=05 sin ID estable. Lo intento luego.
[skip] idx=02 sin ID estable. Lo intento luego.
[skip] idx=05 sin ID estable. Lo intento luego.
[skip] idx=02 sin ID estable. Lo intento luego.
[skip] idx=05 sin ID estable. Lo intento luego.
[skip] idx=02 sin ID estable. Lo intento luego.
[skip] idx=05 sin ID estable. Lo intento luego.
